age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country
57,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
44,Local-gov,Bachelors,13,Divorced,Prof-specialty,Own-child,White,Female,0,0,60,United-States
27,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States
23,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,15,United-States
21,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States
25,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,38,United-States
43,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,50,United-States
33,Private,10th,6,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,45,United-States
18,Local-gov,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,25,United-States
53,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1902,50,United-States
21,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
23,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,20,United-States
33,Local-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,48,United-States
28,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,42,United-States
62,Federal-gov,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,36,United-States
49,Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,United-States
50,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,15,United-States
33,Private,Assoc-voc,11,Never-married,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States
32,Private,11th,7,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,13550,0,60,United-States
68,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,60,United-States
24,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,40,Philippines
64,Local-gov,9th,5,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States
39,Private,Masters,14,Never-married,Sales,Not-in-family,White,Male,0,2444,45,United-States
45,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
38,State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States
38,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
27,Private,5th-6th,3,Never-married,Priv-house-serv,Not-in-family,White,Female,0,0,65,England
64,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
41,Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,Japan
64,Private,11th,7,Widowed,Tech-support,Unmarried,White,Female,0,0,16,United-States
43,State-gov,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States
52,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
31,Private,1st-4th,2,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,37,Mexico
40,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
18,Private,11th,7,Never-married,Other-service,Other-relative,Black,Male,0,0,15,United-States
32,Self-emp-inc,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
51,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,5013,0,40,India
19,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,0,0,40,United-States
38,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States
23,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States
42,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
55,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,3411,0,40,Jamaica
37,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
20,Private,Assoc-voc,11,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States
53,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,1902,40,United-States
38,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States
36,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States
53,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,United-States
47,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
34,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States
43,Private,Bachelors,13,Separated,Tech-support,Not-in-family,White,Male,0,0,40,United-States
59,Private,11th,7,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States
32,Private,Assoc-voc,11,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
48,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States
43,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States
68,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
17,Private,11th,7,Never-married,Sales,Own-child,White,Male,0,0,12,United-States
37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States
55,Private,HS-grad,9,Separated,Protective-serv,Not-in-family,White,Male,0,0,81,United-States
36,Private,Assoc-acdm,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2829,0,40,United-States
40,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1887,40,United-States
72,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1455,0,6,United-States
50,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,50,United-States
23,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,30,United-States
32,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
35,Private,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,40,United-States
35,Private,Bachelors,13,Married-spouse-absent,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines
40,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
40,Local-gov,9th,5,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Yugoslavia
21,Private,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Female,0,1602,30,United-States
20,Private,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,0,0,40,Mexico
53,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
36,Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Male,0,0,45,United-States
34,Local-gov,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,El-Salvador
64,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,5,United-States
62,State-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States
45,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
41,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,4,Peru
34,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States
41,Private,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States
24,Private,Some-college,10,Divorced,Other-service,Not-in-family,Black,Male,0,0,40,United-States
50,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,Black,Female,0,0,40,United-States
47,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States
32,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
36,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
43,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
43,Federal-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States
51,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
25,Private,11th,7,Married-spouse-absent,Handlers-cleaners,Not-in-family,White,Female,0,0,40,Mexico
64,Private,Masters,14,Never-married,Prof-specialty,Other-relative,White,Female,0,0,8,United-States
43,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,60,United-States
31,Private,HS-grad,9,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,United-States
52,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,40,United-States
28,Private,9th,5,Never-married,Other-service,Other-relative,White,Male,0,0,52,United-States
29,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Other,Male,0,0,55,United-States
40,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1672,45,United-States
37,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
18,Private,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,6,United-States
37,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States
27,Self-emp-not-inc,Assoc-voc,11,Never-married,Prof-specialty,Other-relative,White,Male,0,0,30,United-States
30,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Asian-Pac-Islander,Male,0,0,40,Vietnam
34,Private,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States
46,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,80,United-States
23,Private,9th,5,Never-married,Farming-fishing,Unmarried,White,Male,0,0,70,United-States
40,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
53,Self-emp-not-inc,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States
40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
24,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States
40,Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States
30,Private,Some-college,10,Never-married,Craft-repair,Unmarried,Black,Male,0,0,40,United-States
52,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,7298,0,40,United-States
30,Local-gov,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States
22,State-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,43,United-States
51,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States
50,Self-emp-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
75,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,20,United-States
42,Self-emp-not-inc,11th,7,Separated,Other-service,Unmarried,White,Female,0,0,30,United-States
40,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,60,United-States
22,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States
41,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States
54,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States
47,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States
61,State-gov,HS-grad,9,Widowed,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,0,0,40,United-States
33,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,45,United-States
69,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States
41,Private,10th,6,Married-spouse-absent,Craft-repair,Not-in-family,White,Female,0,0,40,United-States
20,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,30,United-States
30,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,1741,48,United-States
51,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States
72,Private,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,17,United-States
37,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,80,United-States
19,Private,10th,6,Never-married,Other-service,Other-relative,White,Female,0,0,30,United-States
23,Private,HS-grad,9,Never-married,Machine-op-inspct,Other-relative,Black,Male,0,0,40,United-States
21,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,3674,0,50,United-States
43,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
41,State-gov,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,38,United-States
36,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,92,United-States
40,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
42,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States
31,Private,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0,0,36,United-States
63,Self-emp-inc,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States
26,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States
18,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,25,United-States
34,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States
53,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States
41,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,7298,0,42,United-States
49,Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States
24,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States
22,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,35,United-States
20,Private,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,0,0,40,Germany
25,Self-emp-not-inc,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States
49,Self-emp-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States
30,Private,Some-college,10,Never-married,Other-service,Own-child,Black,Female,0,0,40,United-States
41,State-gov,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,35,United-States
61,Private,10th,6,Divorced,Other-service,Not-in-family,Black,Female,0,0,24,United-States
46,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,7688,0,40,United-States
32,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Mexico
50,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Canada
33,Self-emp-not-inc,Assoc-acdm,12,Divorced,Sales,Unmarried,Black,Male,0,0,60,United-States
32,State-gov,Some-college,10,Divorced,Protective-serv,Unmarried,White,Female,0,1726,38,United-States
35,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,0,0,60,United-States
27,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1980,40,United-States
50,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,50,United-States
32,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1672,60,United-States
29,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States
42,Private,7th-8th,4,Married-spouse-absent,Prof-specialty,Other-relative,White,Male,0,0,35,Puerto-Rico
35,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3908,0,60,United-States
39,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1977,45,Philippines
37,Self-emp-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,15024,0,55,United-States
23,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States
26,Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States
17,Private,9th,5,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,20,United-States
50,Private,Bachelors,13,Separated,Sales,Not-in-family,White,Male,0,0,40,United-States
29,Private,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,Female,2174,0,45,United-States
31,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,3908,0,40,United-States
22,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,30,United-States
36,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States
33,Private,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States
48,Self-emp-inc,Doctorate,16,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States
37,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States
22,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States
20,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States
57,Self-emp-inc,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,99999,0,40,United-States
21,State-gov,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,12,United-States
24,State-gov,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,65,United-States
56,Self-emp-not-inc,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States
39,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,45,United-States
57,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States
49,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
28,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States
41,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States
34,Private,Some-college,10,Separated,Other-service,Unmarried,Black,Female,0,0,37,United-States
43,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
50,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,44,United-States
35,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States
27,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States
40,Self-emp-inc,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States
21,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,0,0,40,United-States
27,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States
28,Private,Bachelors,13,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States
47,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
73,Private,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1735,20,United-States
46,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,10,United-States
31,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States
24,Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,1721,30,United-States
61,Private,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Female,0,0,82,United-States
38,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
19,Private,Some-college,10,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States
49,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States
57,Private,Prof-school,15,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,1902,40,Philippines
19,State-gov,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,0,0,12,United-States
52,Private,Masters,14,Divorced,Prof-specialty,Unmarried,White,Male,15020,0,50,United-States
54,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States
